	extended_tweet.full_text	retweet_count	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count
1357	RT @senna_avcn: RT @iqbalwdfl: For all buyers..for every purchase made we'll donate 10%  to merapi victims..SO PLEASE SUPPORT !! PEACE	0	rza667	False	677	[]	Wed Oct 27 10:56:39 +0000 2010	0
1358	With every bottle sold at the estate on All Saints Day (Mon 1st Nov) we will donate $1 to The Fred Hollows Foundation.	3	allsaintsestate	False	3246	[]	Wed Oct 27 03:51:09 +0000 2010	0
1359	RT @iqbalwdfl: For all buyers..for every purchase made we'll donate 10%  to merapi victims..SO PLEASE SUPPORT !! PEACE	0	thisismaa	False	179	[]	Wed Oct 27 04:25:40 +0000 2010	0
1360	RT @dodskai: RT @iqbalwdfl: For all buyers..for every purchase made we'll donate 10%  to merapi victims..SO PLEASE SUPPORT !! PEACE	0	GivexBlood	False	1453	[]	Wed Oct 27 04:25:36 +0000 2010	0
1361	RT @iqbalwdfl: For all buyers..for every purchase made we'll donate 10%  to merapi victims..SO PLEASE SUPPORT !! PEACE	0	KarinAja_	False	337	[]	Wed Oct 27 04:25:07 +0000 2010	0
1362	RT @iqbalwdfl: For all buyers..for every purchase made we'll donate 10%  to merapi victims..SO PLEASE SUPPORT !! PEACE	0	ipungcuomo	False	1338	[]	Wed Oct 27 04:20:12 +0000 2010	0
1363	Time 2 eatup VA RT @redrobinburgers In Falls Church, VA? We'll donate 50¢ for every burger sold this wk to the Ntnl Center for Missing Kids!	0	DanLantowski	False	291	[]	Tue Oct 26 22:25:11 +0000 2010	0
1364	RT @COrestaurantCX: Only a few days left in our drive for @foodbankrockies! Each new FB Like we'll donate 25¢http://on.fb.me/9Zumcx	2	FoodBankRockies	False	5643	[]	Tue Oct 26 21:07:47 +0000 2010	0
1365	RT @COrestaurantCX: Only a few days left in our drive for @foodbankrockies! Each new FB Like we'll donate 25¢http://on.fb.me/9Zumcx	2	FoodBankRockies	False	5643	[]	Tue Oct 26 21:07:47 +0000 2010	0
1366	RT @meadowvalecars: Join our Facebook page before month-end and we'll donate $1 for every member to @edenfoodbank! http://ht.ly/2ZPSA	0	streetsvilleca	False	3451	[]	Tue Oct 26 20:21:38 +0000 2010	0
1367	RT @meadowvalecars: Join our Facebook page before month-end and we'll donate $1 for every member to @edenfoodbank! http://ht.ly/2ZPSA	0	portcreditdotca	False	6248	[]	Tue Oct 26 20:21:37 +0000 2010	0
1368	RT @meadowvalecars: Join our Facebook page before month-end and we'll donate $1 for every member to @edenfoodbank! http://ht.ly/2ZPSA	0	clarksondotca	False	1682	[]	Tue Oct 26 20:21:36 +0000 2010	0
