	text	user.screen_name	created_at	favorite_count	in_reply_to_status_id	retweeted_status	matching_rules
44	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	IAmKatharineC	Tue Jun 11 10:51:43 +0000 2019	0			[{'tag': None}]
45	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	CannonFodder	Tue Jun 11 10:46:42 +0000 2019	0			[{'tag': None}]
46	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	Darrell_VA	Tue Jun 11 10:21:53 +0000 2019	0			[{'tag': None}]
47	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	dgbeale	Tue Jun 11 10:02:31 +0000 2019	0			[{'tag': None}]
48	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	CodeClubROI	Tue Jun 11 09:51:11 +0000 2019	0			[{'tag': None}]
49	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	LMcUnderwood	Tue Jun 11 09:50:44 +0000 2019	0			[{'tag': None}]
50	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	TolkienHeads	Tue Jun 11 09:48:33 +0000 2019	0			[{'tag': None}]
51	"RT @CodeClubNI: Want to help us give back to InfoSec? 

Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using…"	CoderLaois	Tue Jun 11 09:47:21 +0000 2019	0			[{'tag': None}]
52	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	louiselmx	Tue Jun 11 09:28:22 +0000 2019	0			[{'tag': None}]
53	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	EmilyJelter	Tue Jun 11 09:17:41 +0000 2019	0			[{'tag': None}]
54	"RT @CodeClubNI: Want to help us give back to InfoSec? 

Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using…"	GrogganPrimary	Tue Jun 11 08:55:41 +0000 2019	0			[{'tag': None}]
55	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	GigglingNatalie	Tue Jun 11 08:43:26 +0000 2019	0			[{'tag': None}]
56	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	TullamoreDojo	Tue Jun 11 08:43:10 +0000 2019	0			[{'tag': None}]
57	"RT @CodeClubNI: Want to help us give back to InfoSec? 

Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using…"	steampunk_prof	Tue Jun 11 08:40:18 +0000 2019	0			[{'tag': None}]
58	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	linker3000	Tue Jun 11 08:39:14 +0000 2019	0			[{'tag': None}]
59	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	ArianneDonoghue	Tue Jun 11 08:35:02 +0000 2019	0			[{'tag': None}]
60	"Want to help us give back to InfoSec? 

Just RT to support @CodeClub, and we’ll donate £1 for every retweet and pos… https://t.co/209K7imj6h"	CodeClubNI	Tue Jun 11 08:27:29 +0000 2019	4			[{'tag': None}]
61	RT @TripwireInc: Help us give back to InfoSec! Simply RT to support @Cyberchallenge, and we’ll donate £1 for every retweet and post using #…	decoyle7	Sun Jun 09 09:15:10 +0000 2019	0			[{'tag': None}]
